Species,Voucher information (herbarium),rbcL,rbcL-atpB,rps4-trnS,trnL-F,matK,psbZ,rpl32-trnP,trnT
Goniophlebium amoenum,,MH665028,MH665004,MH665091,MH665158,MH665018,_,_,_
Lemmaphyllum carnosum,"China, Z.R. H wxp282 (PE)",GU126698,GU126706,GU126717,GU126728,MN390993,MN391001,MN390976,MN390984
Lemmaphyllum pyriforme,"China, Gansu, R. H. Jiang JRH2242 (PE)",KX891374,KX891388,KX891406,GU126725,MF446966,MF447013,MF447060,MF447107
Lemmaphyllum rostratum,"China, Wei XP et al. wxp124 (PE)",KX891376,KX891390,KX891407,KX891363,MF450477,MN391002,MN390982,MN390985
Lemmaphyllum squamatum,"China, Zhang XC 3925 (PE)",KX891378,KX891392,KX891408,KX891365,_,_,_,_
Lepidomicrosorium subhemionitideum,"China, Zhang XC 7141 (PE)",GU126693,GU126701,GU126712,GU126723,MN390994,MN391003,MN390977,MN390986
Lepidomicrosorium superficiale,"China, Jiangxi, Hong-Mei Liu A370 (PE)",KX891379,KX891394,KX891409,MH113492,MF446968,MF447015,MF447062,MF447109
Lepisorus accedens,"Philippines, 223 (PE)",EU482936,_,EU482986,EU483031,MN390992,MN391000,_,MN390983
Lepisorus affinis,"China, Guangdong, X. C. Zhang 4219 (PE)",GQ256256,GQ256086,GQ256328,GQ256173,MF446969,MF447016,MF447063,MF447110
Lepisorus albertii,"Chin–a, Beijing, C. F. Zhao & S. Qu BJ_3 (PE)",GQ256271,GQ256105,GQ256345,GQ256192,MK485061,MK485574,MK486087,MK486600
Lepisorus angustus,"China, Yunnan, X. C. Zhang et al. 4411 (PE)",GQ256290,GQ256127,GQ256364,GQ256214,MF446970,MF447017,MF447064,MF447111
Lepisorus annamensis,,GQ256252,GQ256079,GQ256324,GQ256166,_,_,_,_
Lepisorus annuifrons,,GQ256258,GQ256089,GQ256331,GQ256176,_,_,_,_
Lepisorus asterolepis,"China, Sichuan, C. F. Zhao L_1 (PE)",GQ256259,GQ256090,GQ256332,GQ256177,MF446971,MF447018,MF447065,MF447112
Lepisorus bampsii,,GQ256260,GQ256091,GQ256333,GQ256178,_,_,_,_
Lepisorus bicolor,"China, Tibet, C. F. Zhao YD021 (PE)",GQ256261,GQ256092,GQ256334,GQ256179,MF446972,MF447019,MF447066,MF447113
Lepisorus boninensis,,GQ256262,GQ256093,GQ256335,GQ256180,_,_,_,_
Lepisorus clathratus (lozi 14),"China, Tibet, Cun-Feng Zhao ML_4 (PE)",GQ256267,GQ256099,GQ256341,GQ256186,MK485131,MK485644,MK486157,MK486670
Lepisorus clathratus (milin4),"China, Tibet, Zhong-Shuai Zhang Lozi_14 (PE)",_,_,_,_,MK485122,MK485635,MK486148,MK486661
Lepisorus confluens,,GQ256264,GQ256095,GQ256337,GQ256182,_,_,_,_
Lepisorus contortus,"China, Sichuan, X. P. Qi 5188 (PE)",GQ256266,GQ256097,GQ256339,GQ256184,MF446976,MF447023,MF447070,MF447117
Lepisorus elegans,,GQ256268,GQ256100,GQ256342,GQ256187,_,_,_,_
Lepisorus excavatus ,,DQ642155,GQ256101,DQ642193,GQ256188,_,_,_,_
Lepisorus hachijoensis,,GQ256269,GQ256103,GQ256343,GQ256190,_,_,_,_
