"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"23","GTR+G",90,-4142.27358801822,8464.54717603644,0.728791771223644,8487.5205280701,0.778898339143946,8886.61111026255
"24","GTR+G+I",91,-4142.26248395087,8466.52496790174,0.271101183589899,8490.04182183433,0.220794775734795,8893.27850139703
"15","HKY+G",86,-4155.41829879206,8482.83659758411,7.7822653132539e-05,8503.70689047114,0.000238043781842757,8886.1421347335
"16","HKY+G+I",87,-4155.40431056315,8484.80862112629,2.90326421708287e-05,8506.19409598663,6.86383801941893e-05,8892.80375754487
"22","GTR+I",90,-4157.43406867144,8494.86813734288,1.8988487353947e-07,8517.84148937654,2.02940014512135e-07,8916.93207156898
"14","HKY+I",86,-4171.75097576264,8515.50195152529,6.27934796303638e-12,8536.37224441232,1.92072574817268e-11,8918.80748867468
"21","GTR",89,-4201.53722196643,8581.07444393286,3.62266971978227e-26,8603.51141872278,5.06266157583643e-26,8998.44877888979
"19","SYM+G",87,-4206.69042398298,8587.38084796597,1.54742819231345e-27,8608.7663228263,3.65839815619461e-27,8995.37598438454
"20","SYM+G+I",88,-4206.5305240544,8589.0610481088,6.67974186405319e-28,8610.96874041649,1.21630380779498e-27,9001.74578379655
"11","K80+G",83,-4218.2587805487,8602.5175610974,7.99309567466813e-31,8621.88422776407,5.18530259396851e-30,8991.75430043925
"12","K80+G+I",84,-4218.0513252492,8604.1026504984,3.618405386705e-31,8623.96356843999,1.83337377333719e-30,8998.02898910943
"13","HKY",85,-4217.49409777963,8604.98819555925,2.32393274083905e-31,8625.3503125509,9.16480769976194e-31,9003.60413343946
"18","SYM+I",87,-4222.321474016,8618.642948032,2.51844069974146e-34,8640.02842289233,5.95404611224335e-34,9026.63808445057
"10","K80+I",83,-4235.98148277529,8637.96296555057,1.60636128981882e-38,8657.32963221724,1.04208303040161e-37,9027.19970489242
"17","SYM",86,-4293.08283639571,8758.16567279143,1.27103350141027e-64,8779.03596567846,3.88783483145006e-64,9161.47120994082
"9","K80",82,-4304.10713631234,8772.21427262469,1.13120757494704e-67,8791.09360688266,9.36319970550195e-67,9156.76141269736
"7","F81+G",85,-4509.17316541954,9188.34633083909,4.91602397084236e-158,9208.70844783073,1.93871421269806e-157,9586.9622687193
"8","F81+G+I",86,-4509.08294296596,9190.16588593192,1.97925897847857e-158,9211.03617881895,6.0541535596436e-158,9593.47142308131
"6","F81+I",85,-4525.28135616259,9220.56271232518,4.96495868240331e-165,9240.92482931682,1.95801241412267e-164,9619.17865020539
"3","JC+G",82,-4555.20327151667,9274.40654303335,1.00896559688539e-176,9293.28587729132,8.35138182314699e-176,9658.95368310602
"4","JC+G+I",83,-4555.05544283786,9276.11088567572,4.30311602117411e-177,9295.47755234239,2.79152903642279e-176,9665.34762501757
"2","JC+I",82,-4571.47112369487,9306.94224738973,8.68636200691977e-184,9325.82158164771,7.18985126924054e-183,9691.48938746241
"5","F81",84,-4581.37429410362,9330.74858820724,5.87972073373402e-189,9350.60950614882,2.97913711586394e-188,9724.67492681827
"1","JC",81,-4635.52133505099,9433.04267010198,3.60146376791067e-211,9451.44156206873,3.79042362049121e-210,9812.90021090547
