"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"24","GTR+G+I",91,-3150.94597412059,6483.89194824118,0.579160575548677,6499.30999612331,0.438037993177433,6945.40512438443
"20","SYM+G+I",88,-3154.35388223608,6484.70776447217,0.385164939250386,6499.09160285601,0.488579539745942,6931.00622052278
"12","K80+G+I",84,-3161.26904073459,6490.53808146917,0.020874183530899,6503.60304029808,0.051202254365054,6916.55024406294
"16","HKY+G+I",87,-3158.62132777243,6491.24265554487,0.0146761851145283,6505.29036196689,0.0220237788669784,6932.46953823127
"18","SYM+I",87,-3164.08340005481,6502.16680010961,6.22967412125572e-05,6516.21450653163,9.34854420199807e-05,6943.39368279602
"22","GTR+I",90,-3161.16656919597,6502.33313839194,5.73251803754248e-05,6517.40213563205,5.1624231947679e-05,6958.77474117098
"10","K80+I",83,-3171.10197564935,6508.2039512987,3.04449037278773e-06,6520.94983795318,8.75951040088243e-06,6929.14454052826
"14","HKY+I",86,-3168.84843616557,6509.69687233113,1.44321462742047e-06,6523.41272934305,2.55664107822634e-06,6945.85218165332
"23","GTR+G",90,-3170.74449524044,6521.48899048089,3.96921844383905e-09,6536.557987721,3.57448249187885e-09,6977.93059325992
"19","SYM+G",87,-3174.03902861357,6522.07805722714,2.95658781048525e-09,6536.12576364916,4.43679577702191e-09,6963.30493991354
"11","K80+G",83,-3185.27695620938,6536.55391241876,2.12519490853528e-12,6549.29979907324,6.11454287115102e-12,6957.49450164831
"15","HKY+G",86,-3183.04143542709,6538.08287085419,9.89440449781539e-13,6551.7987278661,1.75278440940665e-12,6974.23818017638
"21","GTR",89,-3293.18552501951,6764.37105003901,7.20337279011917e-62,6779.09531474489,7.70729146954422e-62,7215.74107945384
"17","SYM",86,-3296.62615063864,6765.25230127729,4.63633294533827e-62,6778.9681582892,8.2132200125855e-62,7201.40761059948
"4","JC+G+I",83,-3305.89219527343,6777.78439054686,8.80777086326243e-65,6790.53027720134,2.53414368378151e-64,7198.72497977642
"8","F81+G+I",86,-3303.80506894121,6779.61013788242,3.53516762426413e-65,6793.32599489434,6.26251604916439e-65,7215.76544720461
"9","K80",82,-3313.85010593723,6791.70021187446,8.37690906378998e-68,6804.13126210277,2.82107667272058e-67,7207.5692277398
"2","JC+I",82,-3314.43968581743,6792.87937163486,4.64550051262342e-68,6805.31042186317,1.56445689328567e-67,7208.74838750021
"13","HKY",85,-3311.51714344941,6793.03428689881,4.2992538632667e-68,6806.42256528709,8.97149305231681e-68,7224.11802285679
"6","F81+I",85,-3312.46926857814,6794.93853715629,1.65916814406597e-68,6808.32681554457,3.46227879313993e-68,7226.02227311427
"3","JC+G",82,-3327.80865054634,6819.61730109268,7.26047278416125e-74,6832.04835132099,2.4450964249877e-73,7235.48631695803
"7","F81+G",85,-3325.93774832267,6821.87549664534,2.34749117358281e-74,6835.26377503362,4.89864088606548e-74,7252.95923260332
"1","JC",81,-3454.76291534054,7071.52583068108,1.44451724029279e-128,7083.64626863729,5.68201552817035e-128,7482.32327318222
"5","F81",84,-3453.05751676407,7074.11503352814,3.95807915391699e-129,7087.17999235706,9.70876658892472e-129,7500.12719612191
