"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"23","GTR+G",90,-3750.24300655629,7680.48601311258,0.730829236819144,7702.80208940686,0.779367979949849,8104.8705178827
"24","GTR+G+I",91,-3750.24304827359,7682.48609654718,0.268845835476689,7705.32920705195,0.220285511952616,8111.58598470363
"22","GTR+I",90,-3757.96133895733,7695.92267791466,0.000324927703963524,7718.23875420894,0.000346508097253999,8120.30718268478
"21","GTR",89,-3780.15647020099,7738.31294040197,2.02702077294653e-13,7760.10885876932,2.80372687187336e-13,8157.98206178576
"15","HKY+G",86,-3790.95571288554,7753.91142577108,8.31170533788897e-17,7774.18784853531,2.45766067849213e-16,8159.43439699587
"16","HKY+G+I",87,-3790.95573688857,7755.91147377715,3.0576321215626e-17,7776.68759318013,7.04221481003953e-17,8166.14982838826
"19","SYM+G",87,-3791.41822823462,7756.83645646924,1.92543025890419e-17,7777.61257587223,4.43457320759171e-17,8167.07481108036
"20","SYM+G+I",88,-3791.41966491368,7758.83932982735,7.07309300892107e-18,7780.12193852301,1.26459264803229e-17,8173.7930678248
"14","HKY+I",86,-3797.70995939186,7767.41991878371,9.69076699120293e-20,7787.69634154794,2.86543086051676e-19,8172.9428900085
"18","SYM+I",87,-3797.64141030628,7769.28282061257,3.81798448329965e-20,7790.05894001555,8.79342766030772e-20,8179.52117522368
"11","K80+G",83,-3824.93751625512,7815.87503251024,2.91382788831765e-30,7834.69284627542,1.78660521757695e-29,8207.25185357602
"13","HKY",85,-3823.18942950333,7816.37885900666,2.26495387410896e-30,7836.16235021099,8.56899467177161e-30,8217.18644684511
"12","K80+G+I",84,-3824.93698915153,7817.87397830306,1.07250254620178e-30,7837.17127560036,5.17421544694108e-30,8213.96618275517
"10","K80+I",83,-3830.95542721201,7827.91085442402,7.09444415538539e-33,7846.7286681892,4.34993809848459e-32,8219.2876754898
"17","SYM",86,-3829.65857204137,7831.31714408275,1.29196864312078e-33,7851.59356684697,3.8201793771111e-33,8236.84011530753
"9","K80",82,-3863.91181128839,7891.82362257678,9.38506118945074e-47,7910.16863605387,7.28901911143153e-46,8278.48506025622
"7","F81+G",85,-3918.42554775444,8006.85109550888,9.87503691233867e-72,8026.63458671321,3.7360203955e-71,8407.65868334732
"8","F81+G+I",86,-3918.4273611933,8008.8547223866,3.62624112810806e-72,8029.13114515083,1.07223125327318e-71,8414.37769361138
"6","F81+I",85,-3924.17895265423,8018.35790530845,3.13232435672446e-74,8038.14139651278,1.18505153812864e-73,8419.1654931469
"3","JC+G",82,-3945.76097003701,8055.52194007402,2.66562538493587e-82,8073.86695355111,2.07028957856499e-81,8442.18337775347
"4","JC+G+I",83,-3945.76405495941,8057.52810991881,9.77608274710401e-83,8076.345923684,5.99417711439517e-82,8448.90493098459
"2","JC+I",82,-3951.24439139691,8066.48878279382,1.10759115017984e-84,8084.83379627091,8.60223806573366e-84,8453.15022047326
"5","F81",84,-3952.62350271627,8073.24700543254,3.77441871787364e-86,8092.54430272984,1.82094258912566e-85,8469.33920988465
"1","JC",81,-3983.07310046582,8128.14620093164,4.52523611183289e-98,8146.02507037982,4.43705808812933e-97,8510.09225522475
